time,amplitude
0.000000000000000000e+00,1.142417143517189260e-01
2.000801924619085691e-03,1.235073453817917138e-01
4.001603849238171383e-03,1.345022428133435810e-01
6.002405773857256641e-03,1.511113440527436513e-01
8.003207698476342766e-03,1.663166496421336071e-01
1.000400962309542889e-02,1.789316766105436274e-01
1.200481154771451328e-02,1.982173283428533272e-01
1.400561347233359941e-02,2.280262399957570796e-01
1.600641539695268553e-02,2.549388991785407343e-01
1.800721732157177166e-02,2.615339499317868577e-01
2.000801924619085778e-02,2.496604090369989593e-01
2.200882117080994391e-02,2.413429600578370360e-01
2.400962309542902656e-02,2.533726561661261423e-01
2.601042502004811269e-02,2.776404133311065059e-01
2.801122694466719881e-02,2.925017731738075444e-01
3.001202886928628494e-02,2.893275193520797872e-01
3.201283079390537106e-02,2.792581223858672246e-01
3.401363271852445719e-02,2.739062966632255791e-01
3.601443464314354331e-02,2.695508945548342195e-01
3.801523656776262944e-02,2.571406952139521640e-01
4.001603849238171556e-02,2.413601428043575248e-01
4.201684041700080169e-02,2.377699896808149194e-01
4.401764234161988781e-02,2.491537438298805085e-01
4.601844426623897394e-02,2.552491667869993819e-01
4.801924619085805312e-02,2.349462148881955870e-01
5.002004811547713925e-02,1.947804334330051901e-01
5.202085004009622538e-02,1.649224332098737089e-01
5.402165196471531150e-02,1.645053810851557496e-01
5.602245388933439763e-02,1.792833435709809964e-01
5.802325581395348375e-02,1.801746906274492022e-01
6.002405773857256988e-02,1.587935431478413872e-01
6.202485966319165600e-02,1.347188203724702660e-01
6.402566158781074213e-02,1.270206260873388282e-01
6.602646351242982825e-02,1.288207253482956394e-01
6.802726543704891438e-02,1.175348922159928367e-01
7.002806736166800050e-02,8.509062097371720979e-02
7.202886928628708663e-02,4.745260290601040903e-02
7.402967121090617275e-02,2.287101226363782297e-02
7.603047313552525888e-02,1.018965733614355523e-02
7.803127506014434500e-02,-4.422073252663267368e-03
8.003207698476343113e-02,-2.492940533877203990e-02
8.203287890938251725e-02,-4.049107999121536600e-02
8.403368083400160338e-02,-4.446487607913332529e-02
8.603448275862068950e-02,-4.858692079173868028e-02
8.803528468323977563e-02,-7.020384373128198130e-02
9.003608660785886175e-02,-1.089992299910122336e-01
9.203688853247794788e-02,-1.454780192726691235e-01
9.403769045709703400e-02,-1.641808219432298044e-01
9.603849238171610625e-02,-1.709737879452093157e-01
9.803929430633519237e-02,-1.822351504001789302e-01
1.000400962309542785e-01,-2.019641463942596915e-01
1.020408981555733646e-01,-2.178386945162816835e-01
1.040417000801924508e-01,-2.196045590611319098e-01
1.060425020048115369e-01,-2.127730484590726889e-01
1.080433039294306230e-01,-2.094137054427442912e-01
1.100441058540497091e-01,-2.114011841142192372e-01
1.120449077786687953e-01,-2.111023214844471585e-01
1.140457097032878814e-01,-2.072174977849366717e-01
1.160465116279069675e-01,-2.100356854017973729e-01
1.180473135525260536e-01,-2.258377909492610136e-01
1.200481154771451398e-01,-2.427093532452853641e-01
