time,amplitude
1.320079022988505935e-01,6.830000000000000515e-01
1.340080220306513470e-01,7.079999999999999627e-01
1.360081417624521283e-01,6.979999999999999538e-01
1.380082614942528818e-01,6.490000000000000213e-01
1.400083812260536631e-01,5.580000000000000515e-01
1.420085009578544166e-01,4.289999999999999925e-01
1.440086206896551979e-01,2.710000000000000187e-01
1.460087404214559514e-01,9.700000000000000289e-02
1.480088601532567327e-01,-7.399999999999999634e-02
1.500089798850574863e-01,-2.220000000000000029e-01
1.520090996168582675e-01,-3.340000000000000191e-01
1.540092193486590211e-01,-4.040000000000000258e-01
1.560093390804598024e-01,-4.339999999999999969e-01
1.580094588122605559e-01,-4.349999999999999978e-01
1.600095785440613372e-01,-4.159999999999999809e-01
1.620096982758620907e-01,-3.890000000000000124e-01
1.640098180076628442e-01,-3.609999999999999876e-01
1.660099377394636255e-01,-3.350000000000000200e-01
1.680100574712643791e-01,-3.130000000000000004e-01
1.700101772030651603e-01,-2.939999999999999836e-01
1.720102969348659139e-01,-2.770000000000000240e-01
1.740104166666666952e-01,-2.610000000000000098e-01
1.760105363984674487e-01,-2.439999999999999947e-01
1.780106561302682300e-01,-2.240000000000000047e-01
1.800107758620689835e-01,-2.020000000000000129e-01
1.820108955938697648e-01,-1.759999999999999898e-01
1.840110153256705183e-01,-1.489999999999999936e-01
1.860111350574712996e-01,-1.219999999999999973e-01
1.880112547892720531e-01,-9.900000000000000466e-02
1.900113745210728344e-01,-8.300000000000000433e-02
1.920114942528735880e-01,-7.499999999999999722e-02
1.940116139846743415e-01,-7.499999999999999722e-02
1.960117337164751228e-01,-7.900000000000000078e-02
1.980118534482758763e-01,-8.400000000000000522e-02
2.000119731800766576e-01,-8.799999999999999489e-02
2.020120929118774111e-01,-8.799999999999999489e-02
2.040122126436781924e-01,-8.400000000000000522e-02
2.060123323754789459e-01,-7.599999999999999811e-02
2.080124521072797272e-01,-6.600000000000000311e-02
2.100125718390804808e-01,-5.700000000000000205e-02
2.120126915708812620e-01,-5.099999999999999672e-02
2.140128113026820156e-01,-4.700000000000000011e-02
2.160129310344827969e-01,-4.700000000000000011e-02
2.180130507662835504e-01,-4.900000000000000189e-02
2.200131704980843317e-01,-5.099999999999999672e-02
2.220132902298850852e-01,-5.199999999999999761e-02
2.240134099616858387e-01,-5.000000000000000278e-02
2.260135296934866200e-01,-4.700000000000000011e-02
2.280136494252873736e-01,-4.200000000000000261e-02
2.300137691570881548e-01,-3.699999999999999817e-02
2.320138888888889084e-01,-3.200000000000000067e-02
2.340140086206896897e-01,-2.999999999999999889e-02
2.360141283524904432e-01,-3.099999999999999978e-02
2.380142480842912245e-01,-3.300000000000000155e-02
2.400143678160919780e-01,-3.500000000000000333e-02
2.420144875478927593e-01,-3.500000000000000333e-02
2.440146072796935128e-01,-3.300000000000000155e-02
2.460147270114942941e-01,-2.999999999999999889e-02
2.480148467432950476e-01,-2.500000000000000139e-02
2.500149664750958012e-01,-2.100000000000000130e-02
2.520150862068966102e-01,-1.799999999999999864e-02
2.540152059386973638e-01,-1.799999999999999864e-02
2.560153256704981173e-01,-1.899999999999999953e-02
2.580154454022988708e-01,-2.199999999999999872e-02
2.600155651340996243e-01,-2.400000000000000050e-02
2.620156848659004334e-01,-2.500000000000000139e-02
2.640158045977011869e-01,-2.500000000000000139e-02
2.660159243295019404e-01,-2.199999999999999872e-02
2.680160440613026940e-01,-1.899999999999999953e-02
2.700161637931035030e-01,-1.400000000000000029e-02
2.720162835249042566e-01,-1.000000000000000021e-02
2.740164032567050101e-01,-6.000000000000000125e-03
2.760165229885057636e-01,-3.000000000000000062e-03
2.780166427203065727e-01,-1.000000000000000021e-03
2.800167624521073262e-01,2.000000000000000042e-03
2.820168821839080797e-01,3.000000000000000062e-03
2.840170019157088332e-01,5.000000000000000104e-03
2.860171216475096423e-01,6.000000000000000125e-03
2.880172413793103958e-01,7.000000000000000146e-03
2.900173611111111494e-01,8.000000000000000167e-03
2.920174808429119029e-01,8.999999999999999320e-03
2.940176005747126564e-01,8.999999999999999320e-03
2.960177203065134655e-01,1.099999999999999936e-02
2.980178400383142190e-01,1.200000000000000025e-02
3.000179597701149725e-01,1.400000000000000029e-02
3.020180795019157260e-01,1.600000000000000033e-02
3.040181992337165351e-01,1.799999999999999864e-02
3.060183189655172886e-01,2.000000000000000042e-02
3.080184386973180422e-01,2.199999999999999872e-02
3.100185584291187957e-01,2.400000000000000050e-02
3.120186781609196047e-01,2.699999999999999969e-02
3.140187978927203583e-01,2.999999999999999889e-02
3.160189176245211118e-01,3.300000000000000155e-02
3.180190373563218653e-01,3.599999999999999728e-02
3.200191570881226744e-01,3.899999999999999994e-02
3.220192768199234279e-01,4.200000000000000261e-02
3.240193965517241814e-01,4.399999999999999745e-02
3.260195162835249350e-01,4.800000000000000100e-02
3.280196360153256885e-01,5.199999999999999761e-02
3.300197557471264975e-01,5.700000000000000205e-02
3.320198754789272511e-01,6.300000000000000044e-02
3.340199952107280046e-01,7.000000000000000666e-02
3.360201149425287581e-01,7.799999999999999989e-02
3.380202346743295672e-01,8.400000000000000522e-02
3.400203544061303207e-01,8.999999999999999667e-02
3.420204741379310742e-01,9.600000000000000200e-02
3.440205938697318278e-01,1.010000000000000064e-01
3.460207136015326368e-01,1.059999999999999970e-01
3.480208333333333903e-01,1.110000000000000014e-01
3.500209530651341439e-01,1.170000000000000068e-01
3.520210727969348974e-01,1.229999999999999982e-01
3.540211925287356509e-01,1.310000000000000053e-01
3.560213122605364600e-01,1.390000000000000124e-01
3.580214319923372135e-01,1.469999999999999918e-01
3.600215517241379670e-01,1.559999999999999998e-01
3.620216714559387206e-01,1.650000000000000078e-01
3.640217911877395296e-01,1.729999999999999871e-01
3.660219109195402831e-01,1.809999999999999942e-01
3.680220306513410367e-01,1.890000000000000013e-01
3.700221503831417902e-01,1.970000000000000084e-01
3.720222701149425992e-01,2.039999999999999869e-01
3.740223898467433528e-01,2.109999999999999931e-01
3.760225095785441063e-01,2.179999999999999993e-01
3.780226293103448598e-01,2.250000000000000056e-01
3.800227490421456689e-01,2.310000000000000109e-01
3.820228687739464224e-01,2.369999999999999885e-01
3.840229885057471759e-01,2.419999999999999929e-01
3.860231082375479295e-01,2.479999999999999982e-01
3.880232279693486830e-01,2.530000000000000027e-01
3.900233477011494920e-01,2.570000000000000062e-01
3.920234674329502456e-01,2.600000000000000089e-01
3.940235871647509991e-01,2.610000000000000098e-01
3.960237068965517526e-01,2.600000000000000089e-01
3.980238266283525617e-01,2.580000000000000071e-01
4.000239463601533152e-01,2.560000000000000053e-01
4.020240660919540687e-01,2.530000000000000027e-01
4.040241858237548223e-01,2.500000000000000000e-01
4.060243055555556313e-01,2.479999999999999982e-01
4.080244252873563848e-01,2.439999999999999947e-01
4.100245450191571384e-01,2.379999999999999893e-01
4.120246647509578919e-01,2.300000000000000100e-01
4.140247844827587009e-01,2.200000000000000011e-01
4.160249042145594545e-01,2.079999999999999905e-01
4.180250239463602080e-01,1.940000000000000058e-01
4.200251436781609615e-01,1.799999999999999933e-01
4.220252634099617151e-01,1.660000000000000087e-01
4.240253831417625241e-01,1.519999999999999962e-01
4.260255028735632776e-01,1.380000000000000115e-01
4.280256226053640312e-01,1.229999999999999982e-01
4.300257423371647847e-01,1.079999999999999988e-01
4.320258620689655937e-01,9.400000000000000022e-02
