time,amplitude
0.000000000000000000e+00,-1.499999999999999944e-01
3.000840571588680745e-03,-1.499999999999999944e-01
6.001681143177361490e-03,-1.499999999999999944e-01
9.002521714766042668e-03,-1.499999999999999944e-01
1.200336228635472298e-02,-1.499999999999999944e-01
1.500420285794340329e-02,-1.499999999999999944e-01
1.800504342953208534e-02,-1.499999999999999944e-01
2.100588400112076565e-02,-1.449999999999999900e-01
2.400672457270944596e-02,-1.350000000000000089e-01
2.700756514429812627e-02,-1.100000000000000006e-01
3.000840571588680658e-02,-8.000000000000000167e-02
3.300924628747548689e-02,-4.000000000000000083e-02
3.601008685906417067e-02,0.000000000000000000e+00
3.901092743065284751e-02,1.250000000000000000e-01
4.201176800224153129e-02,4.849999999999999867e-01
4.501260857383020814e-02,9.250000000000000444e-01
4.801344914541889192e-02,9.849999999999999867e-01
5.101428971700757570e-02,6.250000000000000000e-01
5.401513028859625254e-02,2.500000000000000000e-01
5.701597086018493632e-02,9.500000000000000111e-02
6.001681143177361316e-02,1.000000000000000056e-01
6.301765200336229000e-02,1.199999999999999956e-01
6.601849257495097378e-02,1.100000000000000006e-01
6.901933314653965756e-02,8.000000000000000167e-02
7.202017371812834134e-02,5.000000000000000278e-02
7.502101428971702513e-02,4.000000000000000083e-02
7.802185486130569503e-02,3.500000000000000333e-02
8.102269543289437881e-02,4.499999999999999833e-02
8.402353600448306259e-02,5.999999999999999778e-02
8.702437657607174637e-02,5.999999999999999778e-02
9.002521714766041627e-02,4.499999999999999833e-02
9.302605771924910005e-02,1.499999999999999944e-02
9.602689829083778383e-02,1.000000000000000021e-02
9.902773886242646761e-02,0.000000000000000000e+00
1.020285794340151514e-01,0.000000000000000000e+00
1.050294200056038213e-01,-2.000000000000000042e-02
1.080302605771925051e-01,-3.500000000000000333e-02
1.110311011487811889e-01,-6.500000000000000222e-02
1.140319417203698726e-01,-7.499999999999999722e-02
1.170327822919585425e-01,-1.100000000000000006e-01
1.200336228635472263e-01,-1.449999999999999900e-01
1.230344634351359101e-01,-1.799999999999999933e-01
1.260353040067245800e-01,-2.250000000000000056e-01
1.290361445783132777e-01,-2.700000000000000178e-01
1.320369851499019476e-01,-3.099999999999999978e-01
1.350378257214906452e-01,-3.800000000000000044e-01
1.380386662930793151e-01,-4.550000000000000155e-01
1.410395068646679850e-01,-5.100000000000000089e-01
1.440403474362566827e-01,-5.649999999999999467e-01
1.470411880078453526e-01,-6.199999999999999956e-01
1.500420285794340503e-01,-6.650000000000000355e-01
1.530428691510227202e-01,-7.049999999999999600e-01
1.560437097226113901e-01,-7.500000000000000000e-01
1.590445502942000877e-01,-7.900000000000000355e-01
1.620453908657887576e-01,-8.299999999999999600e-01
1.650462314373774275e-01,-8.599999999999999867e-01
1.680470720089661252e-01,-8.800000000000000044e-01
1.710479125805547951e-01,-8.850000000000000089e-01
1.740487531521434927e-01,-9.000000000000000222e-01
1.770495937237321626e-01,-9.000000000000000222e-01
1.800504342953208325e-01,-8.950000000000000178e-01
1.830512748669095302e-01,-8.850000000000000089e-01
1.860521154384982001e-01,-8.699999999999999956e-01
1.890529560100868978e-01,-8.549999999999999822e-01
1.920537965816755677e-01,-8.449999999999999734e-01
1.950546371532642376e-01,-8.249999999999999556e-01
1.980554777248529352e-01,-8.199999999999999512e-01
2.010563182964416051e-01,-8.000000000000000444e-01
2.040571588680303028e-01,-7.700000000000000178e-01
